date,commodity,modal_price
2015-01-01,Rice,2179.8
2015-01-02,Rice,2141.84
2015-01-03,Rice,2189.14
2015-01-04,Rice,2241.79
2015-01-05,Rice,2136.5
2015-01-06,Rice,2136.64
2015-01-07,Rice,2245.57
2015-01-08,Rice,2197.0
2015-01-09,Rice,2122.93
2015-01-10,Rice,2183.79
2015-01-11,Rice,2123.56
2015-01-12,Rice,2123.56
2015-01-13,Rice,2166.16
2015-01-14,Rice,2036.98
2015-01-15,Rice,2048.42
2015-01-16,Rice,2118.32
2015-01-17,Rice,2091.42
2015-01-18,Rice,2171.18
2015-01-19,Rice,2097.98
2015-01-20,Rice,2067.86
2015-01-21,Rice,2240.68
2015-01-22,Rice,2139.33
2015-01-23,Rice,2157.07
2015-01-24,Rice,2067.67
2015-01-25,Rice,2120.62
2015-01-26,Rice,2160.08
2015-01-27,Rice,2084.5
2015-01-28,Rice,2176.24
2015-01-29,Rice,2117.8
2015-01-30,Rice,2136.47
2015-01-31,Rice,2118.01
2015-02-01,Rice,2375.19
2015-02-02,Rice,2263.38
2015-02-03,Rice,2200.87
2015-02-04,Rice,2313.82
2015-02-05,Rice,2191.35
2015-02-06,Rice,2277.27
2015-02-07,Rice,2147.3
2015-02-08,Rice,2185.32
2015-02-09,Rice,2276.96
2015-02-10,Rice,2309.6
2015-02-11,Rice,2275.71
2015-02-12,Rice,2258.62
2015-02-13,Rice,2247.63
2015-02-14,Rice,2177.12
2015-02-15,Rice,2222.78
2015-02-16,Rice,2238.47
2015-02-17,Rice,2329.67
2015-02-18,Rice,2287.0
2015-02-19,Rice,2160.74
2015-02-20,Rice,2286.1
2015-02-21,Rice,2243.69
2015-02-22,Rice,2226.32
2015-02-23,Rice,2303.77
2015-02-24,Rice,2329.06
2015-02-25,Rice,2323.22
2015-02-26,Rice,2217.13
2015-02-27,Rice,2249.06
2015-02-28,Rice,2287.63
2015-03-01,Rice,2366.61
2015-03-02,Rice,2279.47
2015-03-03,Rice,2297.22
2015-03-04,Rice,2242.11
2015-03-05,Rice,2236.86
2015-03-06,Rice,2357.52
2015-03-07,Rice,2390.28
2015-03-08,Rice,2304.72
2015-03-09,Rice,2369.39
2015-03-10,Rice,2331.01
2015-03-11,Rice,2270.74
2015-03-12,Rice,2331.27
2015-03-13,Rice,2402.01
2015-03-14,Rice,2307.71
2015-03-15,Rice,2403.88
2015-03-16,Rice,2152.95
2015-03-17,Rice,2359.59
2015-03-18,Rice,2315.63
2015-03-19,Rice,2292.61
2015-03-20,Rice,2316.19
2015-03-21,Rice,2191.57
2015-03-22,Rice,2297.78
2015-03-23,Rice,2332.52
2015-03-24,Rice,2399.91
2015-03-25,Rice,2280.27
2015-03-26,Rice,2263.0
2015-03-27,Rice,2281.54
2015-03-28,Rice,2366.7
2015-03-29,Rice,2331.64
2015-03-30,Rice,2280.27
2015-03-31,Rice,2342.99
2015-04-01,Rice,2277.96
2015-04-02,Rice,2330.39
2015-04-03,Rice,2230.29
2015-04-04,Rice,2252.89
2015-04-05,Rice,2249.16
2015-04-06,Rice,2185.01
2015-04-07,Rice,2290.73
